orgnr,navn,web,stiftet,enhkode,enhtype_beskr,sektorkode,naeringskode,postnr,error_msg
983422039,FRISKIS & SVETTIS ARENDAL,www.arendal.friskissvettis.no,null,AAFY,Underenhet ikke-næringsdriv.,null,93.120,4817,429
981209745,REGISTRERT HOMEOPAT MNHL,www.homeopat.stavanger.no,null,ENK,Enkeltpersonforetak,8200,86.909,null,429
988069418,HORDVIK IDRETTSLAG,idrett.speaker.no/Organisation.asp?id=24859,1946-11-02,FLI,Forening/lag/innretning,7000,94.991,null,429
995011859,MUSIC MANAGERS FORUM NORWAY,www.mmf-norway.com,2009-09-08,FLI,Forening/lag/innretning,7000,94.991,null,429
971495537,STIFTELSEN FRYDENDAL BARNEHAGE,www.frydendal-barnehage.no,1990-01-01,STI,Stiftelse,2100,88.911,null,429
982121221,HONEYWELL CONTROL SYSTEMS LTD,www.honeywell.no,null,NUF,Norskreg. utenlandsk foretak,null,46.630,1372,429
912478440,BYGGKONTROLL RUNE HOGSTAD,www.bkrh.no,null,ENK,Enkeltpersonforetak,8200,71.121,null,429
822166032,GULLGUTTEN STENERSEN,www.gullgutten.no,null,ENK,Enkeltpersonforetak,8200,32.120,9007,429
915949355,GAARDER,www.wheelboard.no,null,BEDR,Bedrift,null,47.919,null,429
930462640,TEAM VERKSTED TRØNDELAG AS,www.team-verksted.no,1977-10-31,AS,Aksjeselskap,1120,45.200,7438,429
989064452,TRONDHEIM RENHOLDSVERK AS,www.trv.no,null,BEDR,Bedrift,null,38.120,7004,429
981413660,BRYNE KRO & HOTELL AS,www.bryne-kro.no,1999-12-22,AS,Aksjeselskap,2100,55.101,4349,429
986150625,INDIGO FORSKNING SOSIOLOGI,web.ism.uit.no/privat/olaugl/,null,ENK,Enkeltpersonforetak,8200,72.200,null,429
998137152,SOKNA RØR AS,www.soknaror.no,null,BEDR,Underenhet næringsdr./off.forv,null,43.221,null,429
920620280,ZEBRA MEDIA STAVANGER AS,www.zebramedia.no,null,BEDR,Underenhet næringsdr./off.forv,null,73.110,4045,429
920275095,KROSSBU TURISTHYTTE AS,www.krossbu.no,2018-01-11,AS,Aksjeselskap,2100,55.202,2685,429
992007982,LOGOPED ELIN SLETTEN,Logopedsletten.no,null,ENK,Enkeltpersonforetak,8200,86.909,null,429
983388671,EXTRA LARGE PRINT AS,www.xlp.no,2001-05-10,AS,Aksjeselskap,2100,18.120,null,429
976327993,A/S LYKKE REFSGAARD,www.lykke-r.dk,1969-12-02,UTLA,Utenlandsk enhet,null,null,1712,429
987391480,OSLO VOKSENOPPLÆRING SERVICESENTER,www.oslovo.no,null,BEDR,Bedrift,null,85.594,602,429
916150326,SØNDRE FJELLSTØLEN VEILAG SA,www.fjellstolen.net,2015-11-18,SA,Samvirkeforetak,2100,81.299,1385,429
975281086,ENGE SKULE,www.minskule.no/enge,null,BEDR,Bedrift,null,85.201,5590,429
911884933,MOSJØEN STYRKELØFTKLUBB,www.mosjøen-styrkeløft.com,2013-03-16,FLI,Forening/lag/innretning,7000,93.120,null,429
916896913,GUTTATILFJELLS,Guttatilfjells.no,null,ENK,Enkeltpersonforetak,8200,79.902,null,429
991187138,TOLERANCY INTERNATIONAL,www.tolerancy.org,2007-01-31,FLI,Forening/lag/innretning,7000,94.991,null,429
914228611,BT SUNDLAND,www.btsundland.no,null,ENK,Enkeltpersonforetak,8200,71.129,null,429
994292811,SIGBJØRN WINDINGSTAD DESIGN,www.sigdesign.no,null,ENK,Enkeltpersonforetak,8200,74.101,null,429
981003594,SOSTEINMO SVEIN OLAV STEINMO,www.sosteinmo.com,null,ENK,Enkeltpersonforetak,8200,62.020,null,429
986270639,ASPECTUS Jarle Worren,www.aspectus.net,null,BEDR,Bedrift,null,62.010,null,429
990519595,LARSSON DATABASEPRO,www.dbpro.no,null,ENK,Enkeltpersonforetak,8200,62.020,null,429
994835661,SCANDINAVIAN SHIPPING & LOGISTICS,www.scandinavianshipping.no,2009-11-25,AS,Aksjeselskap,2100,52.291,3003,429
918060170,WIIG FOTO,www.wiigfoto.com,null,ENK,Enkeltpersonforetak,8200,74.200,null,429
988473227,MEDIA 12 Marcos Figueiredo,www.media12.no,null,ENK,Enkeltpersonforetak,8200,46.510,null,429
997271637,GREGERS LIVE,www.facebook.com/groups/gregerslive,null,AAFY,Ikkenæringsdrivende virksomhet,null,90.020,2302,429
971338520,LJOMEN BLANDAKOR,ljomen.no,1995-02-20,FLI,Forening/lag/innretning,7000,94.991,null,429
995472791,HÅKONSEN GRAFISK,flavors.me/carsten86,null,ENK,Enkeltpersonforetak,8200,74.102,null,429
993967718,RE LEGEGRUPPE DA,www.brar.no,null,BEDR,Bedrift,null,82.990,null,429
996958159,SOLSIKKA SYSTEMER AS,www.solsys.no,2011-05-09,AS,Aksjeselskap,2100,62.010,6139,429
985389241,I ETT MED HESTEN Lillian Grepne,www.lilliangrepne.com,null,BEDR,Bedrift,null,85.510,null,429
891968922,ITLAB BODØ Pedersen,itlab.no,null,ENK,Enkeltpersonforetak,8200,85.599,8001,429
994135988,FOLLIEN MULTIMEDIA,www.follien.no,null,BEDR,Bedrift,null,90.011,null,429
988750867,HEIENE TRANSPORT,www.heienetransport.no,null,BEDR,Bedrift,null,49.410,null,429
969121263,VESTERÅLEN MARINE OG FRITID,www.vol.no/vmf.no,null,ENK,Enkeltpersonforetak,8200,47.642,null,429
998210372,BOLIGUTLEIE LIER AS,www.nordisktilhenger.no,2012-01-27,AS,Aksjeselskap,2100,68.100,null,429
935588707,NORDKJOSBOTN IDRETTSLAG,nordkjosmessa.com,1934-07-07,FLI,Forening/lag/innretning,7000,93.120,9049,429
994234269,POSTPENSJONISTENE I STAVANGER,www.postpensjonistene.no/stavanger,1989-01-18,FLI,Forening/lag/innretning,7000,94.991,4003,429
999314406,MOLLYSCHANGE,myaloevera.no/mollyschange,null,ENK,Enkeltpersonforetak,8200,47.990,null,429
997169360,HITRA UTMARKSRÅD,www.hitra-utmarksroad.no,1999-03-25,FLI,Forening/lag/innretning,7000,94.991,null,429
921284470,XIGRID TECHNOLOGIES AS,xigrid.com,2018-08-01,AS,Aksjeselskap,2100,62.010,null,429
991784888,WEBOTEKET - ODD LEONHARDSEN,www.weboteket.no,null,ENK,Enkeltpersonforetak,8200,62.010,null,429
996211231,GRESSVIK SPEIDERGRUPPE,www.gressvikspeiderne.net,1979-01-01,FLI,Forening/lag/innretning,7000,94.991,1622,429
991564780,TORSTEIN NORENDAL,supertekst.no,null,ENK,Enkeltpersonforetak,8200,73.110,null,429
